id,text,management_overwhelm,guilt_shame,fear_complications,social_isolation,hopelessness,none
295,Every high number feels like proof that I'm bad at this. I feel like I have a second full-time job just managing my blood sugar.,1,1,0,0,0,0
296,Between the pump alarms and the finger pricks I can't keep up anymore.,1,0,0,0,0,0
297,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
298,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
299,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
300,Every high number feels like proof that I'm bad at this. My family thinks I'm just being dramatic when I need to stop and treat a low.,0,1,0,1,0,0
301,Every high number feels like proof that I'm bad at this.,0,1,0,0,0,0
302,Sometimes it feels like I'm the only one dealing with this in my whole social circle.,0,0,0,1,0,0
303,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
304,Every high number feels like proof that I'm bad at this.,0,1,0,0,0,0
305,I ate the cake at the party and now I feel guilty about it all night.,0,1,0,0,0,0
306,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
307,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
308,I saw a 280 on my CGM and just felt like a complete failure.,0,1,0,0,0,0
309,"I feel like I have a second full-time job just managing my blood sugar. I'm scared of what fifty years of this disease will do to my heart. I feel so alone managing this, like nobody else understands the mental load.",1,0,1,1,0,0
310,"I've stopped logging my food, nothing I do seems to change anything. I hid my pump from my coworkers today, I don't know why I feel embarrassed.",0,1,0,0,1,0
311,My A1C went up and I feel so ashamed to tell my doctor. It feels like no matter what I do this disease is going to win eventually.,0,1,0,0,1,0
312,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
313,Between the pump alarms and the finger pricks I can't keep up anymore. Some days I just want to throw the whole pump away and not deal with any of it.,1,0,0,0,1,0
314,I saw a 280 on my CGM and just felt like a complete failure.,0,1,0,0,0,0
315,Between the pump alarms and the finger pricks I can't keep up anymore.,1,0,0,0,0,0
316,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
317,Between the pump alarms and the finger pricks I can't keep up anymore.,1,0,0,0,0,0
318,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
319,Honestly what's the point of trying so hard when my numbers are all over the place anyway. I forgot to bolus again and now I'm scrambling to fix it before work.,1,0,0,0,1,0
320,"Juggling work, kids, and diabetes management is just too much some weeks. I don't know why I bother with tight control anymore, it never seems to matter.",1,0,0,0,1,0
321,I feel like I have a second full-time job just managing my blood sugar. I saw a 280 on my CGM and just felt like a complete failure. I lie awake some nights terrified about what my kidneys will look like in ten years.,1,1,1,0,0,0
322,I forgot to bolus again and now I'm scrambling to fix it before work.,1,0,0,0,0,0
323,"Some days the sheer amount of decisions this disease demands wears me down completely. None of my friends really get what a low feels like, so I stopped explaining it.",1,0,0,1,0,0
324,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
325,It feels like no matter what I do this disease is going to win eventually.,0,0,0,0,1,0
326,I don't bring it up anymore because people just don't get it. I'm scared of what fifty years of this disease will do to my heart.,0,0,1,1,0,0
327,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
328,"Every high number feels like proof that I'm bad at this. I don't know why I bother with tight control anymore, it never seems to matter.",0,1,0,0,1,0
329,I don't bring it up anymore because people just don't get it.,0,0,0,1,0,0
330,Some days the sheer amount of decisions this disease demands wears me down completely.,1,0,0,0,0,0
331,I saw my grandmother lose her eyesight to this and I can't stop thinking it'll happen to me.,0,0,1,0,0,0
332,"I don't know why I bother with tight control anymore, it never seems to matter. I'm so tired of counting every single carb, every single day. None of my friends really get what a low feels like, so I stopped explaining it.",1,0,0,1,1,0
333,"It feels like no matter what I do this disease is going to win eventually. Juggling work, kids, and diabetes management is just too much some weeks.",1,0,0,0,1,0
334,My family thinks I'm just being dramatic when I need to stop and treat a low.,0,0,0,1,0,0
335,"My family thinks I'm just being dramatic when I need to stop and treat a low. Juggling work, kids, and diabetes management is just too much some weeks.",1,0,0,1,0,0
336,It feels like no matter what I do this disease is going to win eventually.,0,0,0,0,1,0
337,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
338,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
339,Some days I just want to throw the whole pump away and not deal with any of it.,0,0,0,0,1,0
340,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
341,Sometimes it feels like I'm the only one dealing with this in my whole social circle.,0,0,0,1,0,0
342,"Some days I just want to throw the whole pump away and not deal with any of it. The neuropathy tingling in my feet freaks me out more than I let on. I'm so tired of counting every single carb, every single day.",1,0,1,0,1,0
343,"Juggling work, kids, and diabetes management is just too much some weeks. I don't bring it up anymore because people just don't get it. The neuropathy tingling in my feet freaks me out more than I let on.",1,0,1,1,0,0
344,It feels like no matter what I do this disease is going to win eventually. I feel like I have a second full-time job just managing my blood sugar.,1,0,0,0,1,0
345,My family thinks I'm just being dramatic when I need to stop and treat a low.,0,0,0,1,0,0
346,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
347,Between the pump alarms and the finger pricks I can't keep up anymore. Honestly what's the point of trying so hard when my numbers are all over the place anyway.,1,0,0,0,1,0
348,"Some days the sheer amount of decisions this disease demands wears me down completely. I don't know why I bother with tight control anymore, it never seems to matter.",1,0,0,0,1,0
349,I don't bring it up anymore because people just don't get it.,0,0,0,1,0,0
350,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
351,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
352,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
353,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
354,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
355,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
356,I ate the cake at the party and now I feel guilty about it all night. Honestly what's the point of trying so hard when my numbers are all over the place anyway. I lie awake some nights terrified about what my kidneys will look like in ten years.,0,1,1,0,1,0
357,"Ha, my pancreas really said 'not today' but whatever, adjusted my dose and moved on.",0,0,0,0,0,1
358,"I hid my pump from my coworkers today, I don't know why I feel embarrassed.",0,1,0,0,0,0
359,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
360,I forgot to bolus again and now I'm scrambling to fix it before work.,1,0,0,0,0,0
361,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
362,It feels like no matter what I do this disease is going to win eventually. I don't bring it up anymore because people just don't get it.,0,0,0,1,1,0
363,"Ha, my pancreas really said 'not today' but whatever, adjusted my dose and moved on.",0,0,0,0,0,1
364,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
365,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
366,"I'm so tired of counting every single carb, every single day. Every eye appointment I go into expecting bad news.",1,0,1,0,0,0
367,Sometimes it feels like I'm the only one dealing with this in my whole social circle.,0,0,0,1,0,0
368,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
369,I lie awake some nights terrified about what my kidneys will look like in ten years. My A1C went up and I feel so ashamed to tell my doctor.,0,1,1,0,0,0
370,I ate the cake at the party and now I feel guilty about it all night.,0,1,0,0,0,0
371,My A1C went up and I feel so ashamed to tell my doctor.,0,1,0,0,0,0
372,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
373,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
374,I feel like I have a second full-time job just managing my blood sugar. Every high number feels like proof that I'm bad at this.,1,1,0,0,0,0
375,It feels like no matter what I do this disease is going to win eventually. Sometimes it feels like I'm the only one dealing with this in my whole social circle.,0,0,0,1,1,0
376,Every eye appointment I go into expecting bad news. I saw a 280 on my CGM and just felt like a complete failure.,0,1,1,0,0,0
377,I saw my grandmother lose her eyesight to this and I can't stop thinking it'll happen to me.,0,0,1,0,0,0
378,I'm scared of what fifty years of this disease will do to my heart.,0,0,1,0,0,0
379,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
380,Some days the sheer amount of decisions this disease demands wears me down completely.,1,0,0,0,0,0
381,"Juggling work, kids, and diabetes management is just too much some weeks. It feels like no matter what I do this disease is going to win eventually.",1,0,0,0,1,0
382,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
383,"I've stopped logging my food, nothing I do seems to change anything.",0,0,0,0,1,0
384,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
385,I forgot to bolus again and now I'm scrambling to fix it before work.,1,0,0,0,0,0
386,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
387,"Every high number feels like proof that I'm bad at this. Between the pump alarms and the finger pricks I can't keep up anymore. I don't know why I bother with tight control anymore, it never seems to matter.",1,1,0,0,1,0
388,Every eye appointment I go into expecting bad news.,0,0,1,0,0,0
389,I'm scared of what fifty years of this disease will do to my heart.,0,0,1,0,0,0
390,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
391,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
392,My family thinks I'm just being dramatic when I need to stop and treat a low.,0,0,0,1,0,0
393,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
394,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
395,Sometimes it feels like I'm the only one dealing with this in my whole social circle. The neuropathy tingling in my feet freaks me out more than I let on.,0,0,1,1,0,0
396,"Ha, my pancreas really said 'not today' but whatever, adjusted my dose and moved on.",0,0,0,0,0,1
397,The neuropathy tingling in my feet freaks me out more than I let on.,0,0,1,0,0,0
398,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
399,Sometimes it feels like I'm the only one dealing with this in my whole social circle.,0,0,0,1,0,0
